Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.88,-0.46,2.94,11.0,217.5,8.1,22.5,140.38,-0.83,7.75,2
3.75,-0.71,2.83,10.92,220.59,8.0,22.5,139.47,-0.72,8.14,2
3.73,-0.73,2.68,10.9,208.69,8.2,22.5,139.86,-0.46,7.66,2
3.86,-0.45,2.66,10.94,172.91,8.2,22.5,139.4,-0.52,6.16,2
3.99,-0.15,2.72,11.0,173.83,8.3,22.5,140.46,-0.57,5.92,2
4.04,-0.06,2.84,11.03,216.42,8.2,22.5,140.78,-0.44,7.27,2
4.05,-0.02,2.91,11.1,218.24,8.2,22.5,140.1,-0.39,7.31,2
4.01,-0.1,2.91,11.05,220.05,8.2,22.5,140.56,-0.45,7.42,2
3.97,-0.15,2.87,11.01,218.65,8.2,22.5,140.67,-0.47,7.38,2
3.91,-0.22,2.91,11.0,218.36,8.1,22.5,139.94,-0.43,7.43,2
3.85,-0.34,2.88,11.0,219.02,8.1,22.5,139.59,-0.46,7.59,2
3.83,-0.44,2.86,11.0,220.06,8.1,22.5,141.08,-0.47,7.67,2
3.83,-0.43,2.81,11.0,219.97,8.2,22.5,139.92,-0.52,7.73,2
3.82,-0.49,2.81,11.0,218.52,8.2,22.5,141.0,-0.54,7.7,2
3.79,-0.57,2.86,11.0,213.03,8.1,22.5,139.78,-0.56,7.65,2
3.78,-0.66,2.86,10.92,206.02,8.1,22.5,137.16,-0.57,7.69,2
3.77,-0.78,2.8,10.92,215.93,8.0,22.5,140.38,-0.48,8.07,2
3.8,-0.76,2.68,10.9,191.44,8.1,22.5,139.38,-0.44,7.23,2
3.9,-0.57,2.67,10.92,172.01,8.3,22.5,140.27,-0.5,6.32,2
4.0,-0.37,2.71,11.0,175.51,8.4,22.5,141.32,-0.65,6.25,2
4.1,-0.13,2.76,11.0,176.7,8.2,22.5,139.26,-0.72,6.19,2
4.11,-0.1,2.88,11.04,219.05,8.1,22.5,140.12,-0.75,7.59,2
4.1,-0.15,2.88,11.09,219.09,8.2,22.5,141.63,-0.74,7.58,2
4.08,-0.26,2.91,11.1,219.98,8.2,22.5,140.51,-0.71,7.83,2
4.07,-0.39,2.89,11.1,216.34,8.2,22.5,141.68,-0.67,7.85,2
4.05,-0.5,2.82,11.14,221.42,8.2,22.5,142.31,-0.7,8.17,2
4.06,-0.5,2.78,11.22,209.02,8.4,22.5,142.54,-0.79,7.7,2
4.15,-0.33,2.73,11.46,174.82,8.6,22.5,145.6,-1.03,6.2,2
4.26,-0.06,2.71,11.5,174.56,8.7,22.5,146.0,-1.09,5.95,2
4.4,0.22,2.81,11.5,173.99,8.8,22.5,146.42,-1.09,5.72,2
4.46,0.3,2.95,11.57,216.82,8.6,22.5,147.08,-1.15,7.07,2
4.4,0.18,3.05,11.69,219.23,8.7,22.5,148.38,-1.22,7.19,2
4.3,-0.07,3.02,11.61,219.59,8.7,22.5,147.98,-1.15,7.46,2
4.22,-0.19,2.89,11.6,221.7,8.7,22.5,147.78,-1.21,7.62,2
4.18,-0.22,2.86,11.6,200.45,8.8,22.5,148.22,-1.15,6.86,2
4.16,-0.3,2.89,11.6,196.12,8.7,22.5,147.16,-1.12,6.86,2
4.14,-0.3,2.86,11.6,194.01,8.8,22.5,147.74,-1.09,6.72,2
4.12,-0.35,2.87,11.6,193.39,8.7,22.5,148.08,-1.02,6.72,2
4.11,-0.41,2.87,11.6,199.01,8.8,22.5,148.18,-1.07,6.99,2
4.07,-0.58,2.93,11.53,193.46,8.7,22.5,147.06,-0.98,7.05,2
